"part","term","statistic","m1","m2","m3","m4","m5","m6","m7","tfp"
"estimates","CEO Behavior","estimate","0.400***","","","","","","","0.629***"
"estimates","CEO Behavior","std.error","(0.082)","","","","","","","(0.101)"
"estimates","R2","estimate","","","","0.323***","","","",""
"estimates","R2","std.error","","","","(0.079)","","","",""
"estimates","R4","estimate","","0.325***","","","","","",""
"estimates","R4","std.error","","(0.089)","","","","","",""
"estimates","R5","estimate","","","0.339***","","","","",""
"estimates","R5","std.error","","","(0.079)","","","","",""
"estimates","R6","estimate","","","","","0.149***","","",""
"estimates","R6","std.error","","","","","(0.055)","","",""
"estimates","R7","estimate","","","","","","0.346***","",""
"estimates","R7","std.error","","","","","","(0.086)","",""
"estimates","R3","estimate","","","","","","","0.251***",""
"estimates","R3","std.error","","","","","","","(0.071)",""
"gof","Num.Obs.","","920","920","920","920","920","920","920","603"
"gof","R2","","0.805","0.803","0.803","0.803","0.802","0.804","0.802","0.553"
